"Hash","Path"
"EB6712BF1D216764F0B7AD626B51FB8871BDA0E9","C:\Windows\System32\cttunesvr.exe"
"4D1EF7146365C25A518549811FEADA3A949B2361","C:\Windows\System32\curl.exe"
"171FCEBEF33965D18A836FF1A95BB0C61D4EFBD3","C:\Windows\System32\dccw.exe"
"F1D2060C493CF485F76BADC207BFACE98DB64110","C:\Windows\System32\dcdiag.exe"
"1BD6D5F4612DDFD977E37ECC2907BCB058322217","C:\Windows\System32\dcomcnfg.exe"
"1E25B7092765A069EEBD3BB2FB9FBF74F0298CF2","C:\Windows\System32\ddodiag.exe"
"7D67612E310AD2EFC424B313AAF067CE10F3EF1C","C:\Windows\System32\DevicePairingWizard.exe"
"FBE8157191FBBAC7FA244A90E9B39C281CCFE177","C:\Windows\System32\dfrgui.exe"
"F62687DCF8AFE594F414B35076B1EDE419325716","C:\Windows\System32\dialer.exe"
"27C714B7CF2CC6E932B3AFC73C55FF8A7D67780F","C:\Windows\System32\diskpart.exe"
"27BA66A048A80044FE443FA0DC653C668DD2A828","C:\Windows\System32\diskperf.exe"
